id,utilizador_id,produto_id,loja_id,datahora,texto,extracted_on,processed
1,1,35,1,2024-09-24 15:04:24,Textura sedosa e final longo.,2024-10-03 18:58:21,False
2,3,44,1,2023-09-06 00:38:44,"A safra está excelente, recomendo guardar mais alguns anos.",2023-09-11 11:14:05,False
3,1,56,1,2025-07-17 08:07:22,Muito tânico para o meu gosto.,2025-07-30 10:07:42,False
4,1,12,1,2023-07-16 02:55:47,Excelente relação qualidade/preço.,2023-08-11 03:14:45,False
5,3,61,1,2024-04-18 22:50:43,Ótimo com queijos curados.,2024-04-30 15:42:13,False
6,3,2,2,2025-09-30 18:23:18,"Vinho leve e fresco, ideal para verão.",2025-10-18 08:06:52,False
7,4,67,2,2024-08-04 19:10:42,Surpreendeu-me pela elegância.,2024-08-21 21:05:30,False
8,1,63,2,2023-09-22 06:47:24,Surpreendeu-me pela elegância.,2023-10-03 17:22:49,False
9,4,50,2,2023-01-26 08:01:02,"Gosto muito deste vinho, notas frutadas e bom corpo.",2023-02-03 02:06:55,False
10,3,30,2,2025-04-06 10:18:14,Loja muito bem organizada.,2025-04-24 10:11:12,False
11,4,98,1,2025-04-25 08:07:55,Pouco complexo para o preço pedido.,2025-05-11 13:17:29,False
12,4,6,1,2023-07-29 07:00:32,"Vinho leve e fresco, ideal para verão.",2023-08-13 13:01:48,False
13,3,56,2,2023-01-01 13:14:52,Muito tânico para o meu gosto.,2023-01-06 08:19:24,False
14,1,56,1,2025-04-12 08:06:35,"Gosto muito deste vinho, notas frutadas e bom corpo.",2025-04-25 10:41:19,False
15,3,34,2,2023-02-21 07:29:26,"Vinho leve e fresco, ideal para verão.",2023-03-19 00:50:52,False
16,2,54,1,2023-08-12 16:07:09,"Entrega rápida, muito satisfeito com o serviço.",2023-08-25 13:22:56,False
17,4,69,2,2023-08-16 00:27:55,"Adoro vinhos da Toscana, este cumpre bem.",2023-09-15 21:17:53,False
18,4,48,1,2025-04-10 23:17:00,Ótimo com queijos curados.,2025-04-22 15:24:40,False
19,4,56,1,2023-07-31 07:02:10,Surpreendeu-me pela elegância.,2023-08-16 04:03:32,False
20,4,39,2,2023-02-13 21:32:09,"Prefiro vinhos do Douro, este é perto do meu estilo.",2023-02-20 13:53:04,False
21,2,44,1,2025-04-27 08:08:18,Muito tânico para o meu gosto.,2025-05-21 19:23:15,False
22,3,65,1,2023-11-12 18:31:52,Recomendo pela rapidez da entrega.,2023-12-12 04:48:17,False
23,1,26,1,2023-01-27 15:46:55,Funcionários pouco prestáveis.,2023-02-04 00:23:09,False
24,1,44,1,2025-04-09 19:48:04,"Gosto muito deste vinho, notas frutadas e bom corpo.",2025-04-15 11:19:50,False
25,3,92,2,2024-06-12 23:34:14,Ótimo com queijos curados.,2024-06-26 07:27:46,False
26,1,77,2,2024-06-17 10:40:37,Processo de compra online confuso.,2024-07-11 04:48:21,False
27,3,86,2,2024-05-05 02:56:22,Pouco complexo para o preço pedido.,2024-05-17 09:45:50,False
28,2,24,2,2023-04-08 00:00:48,Sabor a frutos vermelhos e especiarias.,2023-05-05 13:25:20,False
29,2,72,2,2024-07-26 11:19:00,"Adoro vinhos da Toscana, este cumpre bem.",2024-07-29 20:26:58,False
30,3,8,2,2023-03-22 03:56:00,Pouco complexo para o preço pedido.,2023-04-10 16:15:06,False
31,3,32,2,2024-02-18 02:00:15,Surpreendeu-me pela elegância.,2024-03-16 16:36:51,False
32,4,65,2,2024-06-07 18:55:07,Excelente relação qualidade/preço.,2024-06-10 00:02:08,False
33,2,62,1,2024-12-31 14:21:05,Perfeito para acompanhar carnes vermelhas.,2025-01-18 18:42:00,False
34,1,60,2,2025-06-20 03:52:31,Surpreendeu-me pela elegância.,2025-07-19 04:13:17,False
35,1,33,2,2023-09-19 00:15:12,Excelente relação qualidade/preço.,2023-10-03 11:42:14,False
36,2,26,1,2024-02-23 13:48:58,"Adoro vinhos da Toscana, este cumpre bem.",2024-03-11 19:37:45,False
37,2,39,2,2024-12-27 01:37:11,Ótimo com queijos curados.,2025-01-04 11:10:16,False
38,3,25,1,2025-09-14 04:42:35,"Gosto muito deste vinho, notas frutadas e bom corpo.",2025-09-27 18:34:25,False
39,4,98,2,2025-03-14 14:01:27,Perfeito para acompanhar carnes vermelhas.,2025-03-26 18:32:35,False
40,2,5,1,2023-11-20 09:19:09,Funcionários pouco prestáveis.,2023-11-23 22:18:10,False
41,1,6,1,2024-11-07 18:43:30,"Aroma complexo, com notas de baunilha e frutos negros.",2024-12-01 04:42:41,False
42,3,28,1,2024-07-15 14:55:12,"Prefiro vinhos do Douro, este é perto do meu estilo.",2024-08-10 19:24:26,False
43,4,51,1,2024-08-28 23:29:27,Excelente relação qualidade/preço.,2024-09-01 15:24:29,False
44,1,17,1,2024-12-15 17:56:05,Recomendo pela rapidez da entrega.,2025-01-15 05:31:44,False
45,3,37,2,2023-11-28 11:08:19,Pouco complexo para o preço pedido.,2023-12-11 12:14:51,False
46,1,76,2,2023-05-09 13:54:24,"A safra está excelente, recomendo guardar mais alguns anos.",2023-06-04 11:07:48,False
47,4,18,1,2023-09-10 12:53:58,"Entrega atrasada, não recomendo.",2023-10-06 15:15:00,False
48,4,56,1,2025-10-24 07:15:39,Surpreendeu-me pela elegância.,2025-11-06 08:18:48,False
49,1,18,1,2024-07-11 13:59:20,Textura sedosa e final longo.,2024-07-26 20:51:35,False
50,3,86,1,2023-05-19 21:11:16,"Não gostei, achei muito alcoólico.",2023-06-10 21:29:36,False
51,2,8,1,2025-05-04 15:41:36,"A safra está excelente, recomendo guardar mais alguns anos.",2025-05-07 19:40:51,False
52,1,78,2,2024-10-15 19:14:47,Textura sedosa e final longo.,2024-11-03 06:38:27,False
53,1,78,2,2024-06-27 11:33:03,"Prefiro vinhos do Douro, este é perto do meu estilo.",2024-07-09 10:26:03,False
54,1,83,2,2023-05-05 02:19:33,"Adoro vinhos da Toscana, este cumpre bem.",2023-05-19 01:31:12,False
55,1,94,1,2024-09-11 22:28:30,"Não gostei, achei muito alcoólico.",2024-10-03 19:32:42,False
56,4,100,2,2024-03-16 02:10:25,"Aroma complexo, com notas de baunilha e frutos negros.",2024-04-06 19:44:35,False
57,1,98,1,2023-10-27 07:27:37,Ótimo com queijos curados.,2023-11-08 12:33:45,False
58,1,35,1,2023-04-25 07:42:48,"Aroma complexo, com notas de baunilha e frutos negros.",2023-05-07 09:41:04,False
59,4,12,2,2025-03-17 21:21:46,Muito tânico para o meu gosto.,2025-04-13 15:16:53,False
60,3,37,2,2024-11-13 18:02:17,Muito tânico para o meu gosto.,2024-11-21 18:08:10,False
61,4,50,2,2025-11-13 03:49:37,Perfeito para acompanhar carnes vermelhas.,2025-11-19 08:13:37,False
62,1,54,1,2023-05-11 06:21:34,Sabor a frutos vermelhos e especiarias.,2023-05-17 23:39:00,False
63,4,40,1,2023-02-07 00:20:55,"Vinho leve e fresco, ideal para verão.",2023-02-11 18:46:12,False
64,2,40,2,2025-07-17 02:25:01,"Aroma complexo, com notas de baunilha e frutos negros.",2025-08-04 23:46:02,False
65,3,26,2,2023-11-26 06:42:47,Pouco complexo para o preço pedido.,2023-12-12 08:09:51,False
66,2,22,1,2025-05-04 05:00:00,Textura sedosa e final longo.,2025-05-12 07:28:37,False
67,4,92,2,2023-04-26 21:30:25,Recomendo pela rapidez da entrega.,2023-05-24 03:35:53,False
68,3,90,1,2023-11-20 11:28:55,Muito tânico para o meu gosto.,2023-12-12 12:38:49,False
69,1,53,2,2025-08-13 18:44:07,Textura sedosa e final longo.,2025-08-27 05:26:18,False
70,4,85,1,2023-05-16 15:10:38,"A safra está excelente, recomendo guardar mais alguns anos.",2023-05-18 21:20:20,False
71,3,47,2,2024-02-13 20:34:28,"Adoro vinhos da Toscana, este cumpre bem.",2024-02-24 10:28:39,False
72,1,1,1,2025-03-18 09:28:44,Sabor a frutos vermelhos e especiarias.,2025-04-13 05:11:22,False
73,2,81,2,2023-02-15 18:00:30,"Vinho leve e fresco, ideal para verão.",2023-02-28 03:52:18,False
74,3,69,2,2023-11-05 15:23:55,Excelente relação qualidade/preço.,2023-11-11 16:46:58,False
75,3,97,2,2025-10-27 09:32:39,Serviço pós-venda eficiente.,2025-11-02 13:15:18,False
76,4,18,1,2025-01-28 06:06:04,Pouco complexo para o preço pedido.,2025-02-27 22:54:18,False
77,4,43,2,2025-07-28 09:38:45,"Vinho leve e fresco, ideal para verão.",2025-08-18 23:29:42,False
78,3,44,2,2023-10-02 02:44:12,Surpreendeu-me pela elegância.,2023-10-10 06:30:57,False
79,2,48,1,2023-08-06 22:52:50,Surpreendeu-me pela elegância.,2023-08-12 19:03:33,False
80,2,99,1,2025-03-01 03:08:52,"Gosto muito deste vinho, notas frutadas e bom corpo.",2025-03-22 08:58:23,False
81,4,20,2,2024-06-27 23:44:01,Textura sedosa e final longo.,2024-07-20 16:24:29,False
82,4,51,2,2023-03-15 10:45:27,"Não gostei, achei muito alcoólico.",2023-04-06 00:40:53,False
83,4,60,1,2023-06-23 10:41:57,Perfeito para acompanhar carnes vermelhas.,2023-06-26 09:04:20,False
84,4,94,2,2025-10-30 22:22:31,Perfeito para acompanhar carnes vermelhas.,2025-11-07 23:33:39,False
85,4,55,1,2024-06-24 21:25:32,"Aroma complexo, com notas de baunilha e frutos negros.",2024-07-16 01:43:31,False
86,1,45,1,2023-03-14 20:51:43,Processo de compra online confuso.,2023-03-19 14:00:16,False
87,4,52,2,2023-04-10 14:21:48,Surpreendeu-me pela elegância.,2023-05-06 20:33:10,False
88,4,95,2,2023-07-01 16:45:23,Muito tânico para o meu gosto.,2023-07-14 19:07:55,False
89,2,33,1,2023-07-08 01:04:44,Textura sedosa e final longo.,2023-07-20 06:16:49,False
90,4,94,2,2024-11-25 23:26:08,Loja muito bem organizada.,2024-12-19 00:52:11,False
91,4,49,2,2024-07-25 07:50:58,"Gosto muito deste vinho, notas frutadas e bom corpo.",2024-08-06 10:12:36,False
92,4,51,2,2023-02-21 05:12:05,"Aroma complexo, com notas de baunilha e frutos negros.",2023-03-20 12:03:23,False
93,2,41,2,2024-07-14 07:49:15,Processo de compra online confuso.,2024-07-23 01:38:10,False
94,2,27,2,2024-01-09 22:47:57,Sabor a frutos vermelhos e especiarias.,2024-02-02 14:23:11,False
95,2,26,2,2025-01-19 05:45:50,Pouco complexo para o preço pedido.,2025-02-14 16:16:30,False
96,3,56,2,2023-05-04 05:26:30,Sabor a frutos vermelhos e especiarias.,2023-05-25 18:21:59,False
97,3,49,1,2023-12-29 04:24:08,"Prefiro vinhos do Douro, este é perto do meu estilo.",2024-01-23 05:34:52,False
98,4,87,2,2025-08-01 13:25:35,Sabor a frutos vermelhos e especiarias.,2025-08-09 22:37:33,False
99,4,95,1,2025-06-25 00:50:52,"Vinho leve e fresco, ideal para verão.",2025-07-08 17:55:15,False
100,2,22,2,2025-07-02 06:45:00,"A safra está excelente, recomendo guardar mais alguns anos.",2025-07-07 11:36:19,False
101,4,35,1,2025-08-10 15:51:07,"Gosto muito deste vinho, notas frutadas e bom corpo.",2025-09-06 22:09:19,False
102,3,99,1,2025-08-07 07:55:58,Ótimo com queijos curados.,2025-08-22 08:07:08,False
103,2,42,1,2023-06-06 05:19:39,Processo de compra online confuso.,2023-06-14 06:41:52,False
104,4,23,1,2025-05-14 02:56:20,Muito tânico para o meu gosto.,2025-05-31 04:35:02,False
105,4,20,1,2025-11-09 18:19:34,"Não gostei, achei muito alcoólico.",2025-11-19 23:48:22,False
106,4,3,2,2024-04-27 23:41:10,Ótimo com queijos curados.,2024-05-12 13:27:48,False
107,2,25,1,2024-04-10 01:04:15,"Vinho leve e fresco, ideal para verão.",2024-05-04 22:54:43,False
108,2,21,1,2023-12-28 00:14:35,"A safra está excelente, recomendo guardar mais alguns anos.",2024-01-13 23:21:41,False
109,1,64,2,2023-12-26 07:34:28,Textura sedosa e final longo.,2024-01-14 04:25:42,False
110,1,35,2,2025-05-22 12:17:55,Perfeito para acompanhar carnes vermelhas.,2025-06-01 20:33:04,False
111,1,85,1,2024-09-28 23:59:04,"Não gostei, achei muito alcoólico.",2024-10-16 09:30:08,False
112,1,56,2,2023-05-29 21:23:13,"Não gostei, achei muito alcoólico.",2023-06-24 12:03:14,False
113,2,57,2,2024-04-14 18:24:54,"Não gostei, achei muito alcoólico.",2024-04-19 16:56:24,False
114,1,30,2,2024-01-31 08:17:07,"Vinho leve e fresco, ideal para verão.",2024-02-10 02:50:12,False
115,3,48,2,2024-11-26 01:33:03,"Vinho leve e fresco, ideal para verão.",2024-12-09 05:44:18,False
116,3,27,2,2023-08-12 03:19:17,Textura sedosa e final longo.,2023-09-09 00:54:32,False
117,3,49,1,2024-02-06 08:54:08,Textura sedosa e final longo.,2024-02-25 20:48:04,False
118,4,88,1,2023-12-25 18:44:42,Ótimo com queijos curados.,2024-01-11 02:28:20,False
119,3,57,2,2023-01-06 19:28:39,"Gosto muito deste vinho, notas frutadas e bom corpo.",2023-01-28 09:50:08,False
120,2,3,2,2023-07-27 00:53:46,Pouco complexo para o preço pedido.,2023-08-22 09:05:17,False
121,2,31,1,2023-09-26 20:49:22,"Gosto muito deste vinho, notas frutadas e bom corpo.",2023-10-18 05:39:47,False
122,4,73,2,2024-02-08 08:18:17,Muito tânico para o meu gosto.,2024-03-06 07:00:37,False
123,2,95,2,2025-10-05 11:03:27,Textura sedosa e final longo.,2025-10-15 14:01:50,False
124,3,99,2,2025-04-24 05:40:40,Não gostei do serviço ao cliente.,2025-05-18 21:19:42,False
125,4,99,2,2023-12-22 20:17:33,Ótimo com queijos curados.,2023-12-27 12:48:35,False
126,3,17,1,2023-12-12 01:01:32,"Prefiro vinhos do Douro, este é perto do meu estilo.",2023-12-13 23:05:36,False
127,4,69,2,2024-03-28 03:31:51,"Vinho leve e fresco, ideal para verão.",2024-04-18 09:52:42,False
128,2,67,1,2023-10-26 23:46:17,"Vinho leve e fresco, ideal para verão.",2023-10-29 21:29:50,False
129,3,36,2,2024-03-21 17:45:58,Perfeito para acompanhar carnes vermelhas.,2024-03-27 11:38:23,False
130,2,10,2,2025-09-11 16:24:30,"Gosto muito deste vinho, notas frutadas e bom corpo.",2025-09-20 03:31:09,False
131,1,48,1,2025-10-03 19:56:25,"Vinho leve e fresco, ideal para verão.",2025-10-24 08:43:14,False
132,1,22,1,2024-04-15 21:53:48,"Aroma complexo, com notas de baunilha e frutos negros.",2024-05-07 11:09:16,False
133,2,76,2,2024-03-13 14:15:02,"Aroma complexo, com notas de baunilha e frutos negros.",2024-04-13 05:52:46,False
134,4,48,2,2023-09-03 18:19:39,"A safra está excelente, recomendo guardar mais alguns anos.",2023-09-19 09:52:43,False
135,4,95,1,2025-11-01 12:35:40,Perfeito para acompanhar carnes vermelhas.,2025-11-14 01:19:11,False
136,3,4,1,2025-10-07 15:22:19,Perfeito para acompanhar carnes vermelhas.,2025-10-15 21:17:58,False
137,4,18,2,2024-08-11 00:29:04,Serviço pós-venda eficiente.,2024-09-04 07:27:04,False
138,2,86,1,2024-01-19 12:01:06,Textura sedosa e final longo.,2024-01-22 03:22:27,False
139,4,72,1,2025-04-15 01:53:25,Surpreendeu-me pela elegância.,2025-04-25 22:42:49,False
140,2,74,2,2023-09-29 11:02:34,Ótimo com queijos curados.,2023-10-10 18:25:08,False
141,1,24,2,2025-09-19 22:37:16,Excelente relação qualidade/preço.,2025-10-01 13:28:01,False
142,1,80,1,2024-09-15 14:01:46,"Vinho leve e fresco, ideal para verão.",2024-09-18 19:46:52,False
143,2,33,1,2023-10-22 17:37:15,Recomendo pela rapidez da entrega.,2023-11-17 01:05:16,False
144,2,62,2,2025-05-08 12:35:13,Surpreendeu-me pela elegância.,2025-05-14 10:46:00,False
145,4,75,1,2023-06-28 14:11:53,"Não gostei, achei muito alcoólico.",2023-07-12 17:40:57,False
146,1,19,2,2025-06-26 20:20:40,Perfeito para acompanhar carnes vermelhas.,2025-07-15 04:13:15,False
147,2,22,1,2024-02-17 20:21:36,"Gosto muito deste vinho, notas frutadas e bom corpo.",2024-03-14 15:40:42,False
148,3,48,2,2023-06-29 10:23:41,Atendimento na loja excelente.,2023-07-08 03:22:00,False
149,3,11,2,2024-01-16 22:56:11,Perfeito para acompanhar carnes vermelhas.,2024-01-29 09:54:40,False
150,4,63,1,2023-04-25 17:03:08,Excelente relação qualidade/preço.,2023-05-21 18:56:14,False
151,4,26,1,2025-05-03 11:32:30,"A safra está excelente, recomendo guardar mais alguns anos.",2025-05-28 08:45:52,False
152,2,90,1,2025-08-25 20:49:09,"Aroma complexo, com notas de baunilha e frutos negros.",2025-09-23 15:30:53,False
153,1,58,1,2023-05-20 17:51:05,Surpreendeu-me pela elegância.,2023-05-30 09:55:21,False
154,4,44,1,2023-07-16 05:44:37,Ótimo com queijos curados.,2023-08-01 02:53:27,False
155,3,69,2,2025-02-12 15:33:59,"Aroma complexo, com notas de baunilha e frutos negros.",2025-03-06 12:29:58,False
156,2,26,1,2025-10-03 14:54:05,"Adoro vinhos da Toscana, este cumpre bem.",2025-10-19 00:58:10,False
157,2,58,2,2023-12-31 11:50:29,Sabor a frutos vermelhos e especiarias.,2024-01-24 00:09:49,False
158,3,86,1,2025-03-30 18:04:21,Sabor a frutos vermelhos e especiarias.,2025-04-04 08:47:29,False
159,4,18,2,2023-07-08 14:04:25,Muito tânico para o meu gosto.,2023-08-05 22:13:16,False
160,3,44,1,2024-05-05 16:40:44,Serviço pós-venda eficiente.,2024-06-05 14:08:02,False
161,1,68,2,2024-07-30 06:07:31,Perfeito para acompanhar carnes vermelhas.,2024-08-14 02:09:47,False
162,3,60,1,2024-12-10 22:23:39,"Prefiro vinhos do Douro, este é perto do meu estilo.",2024-12-14 04:37:34,False
163,3,17,2,2023-10-14 14:27:57,Textura sedosa e final longo.,2023-10-24 16:53:19,False
164,4,97,1,2023-01-13 02:20:27,Perfeito para acompanhar carnes vermelhas.,2023-01-23 18:59:27,False
165,4,56,1,2024-04-05 02:31:20,"Entrega atrasada, não recomendo.",2024-04-15 12:21:09,False
166,4,29,1,2023-03-03 21:50:08,Textura sedosa e final longo.,2023-03-16 07:43:17,False
167,1,25,2,2023-09-19 12:13:21,Pouco complexo para o preço pedido.,2023-09-21 05:22:28,False
